Page path and screen class,Session manual medium,Views,Users,Views per user,Average engagement time,Event count,Key events,Total revenue
/article/2024/03/penn-recieves-record-applications-2028-class,referral,5283,1735,3.044956772,27.04726225,11752,0,0
/article/2024/03/penn-trustees-meeting-jameson-interrupted,referral,5167,1691,3.055588409,36.29509166,11403,0,0
/article/2024/03/5-easy-classes-for-fall-2024-penn,referral,4975,1260,3.948412698,16.26984127,10523,0,0
/article/2024/03/penn-biden-gutmann-admissions-texts-emails,referral,4918,1916,2.566805846,102.3392484,10963,0,0
/article/2024/03/penn-biden-gutmann-admissions-texts-emails,organic,4818,1525,3.159344262,157.5009836,8983,0,0
/article/2024/04/penn-rowing-racism-allegations-lightweight-sports-athletics,email,4666,1284,3.633956386,95.64330218,8772,0,0
/article/2024/04/penn-tyler-perkins-tranfer-villanova-freshman-guard,organic,4572,1428,3.201680672,44.6232493,9997,0,0
/article/2024/03/penn-trustees-meeting-jameson-interrupted,organic,4292,1001,4.287712288,68.31268731,7718,0,0
/article/2024/03/penn-lawsuit-faculty-justice-palestine-israel-mccarthy,referral,4286,1680,2.551190476,43.22261905,9756,0,0
/article/2021/05/move-bombing-36th-anniversary-west-philly-photo-gallery,referral,4111,1750,2.349142857,22.62685714,10042,0,0
/article/2024/03/tyler-perkins-transfer-portal-penn-mens-basketball,organic,3941,1236,3.188511327,27.1618123,8308,0,0
/article/2024/03/penn-biden-gutmann-admissions-texts-emails,email,3940,1561,2.524023062,129.7680974,8758,0,0
/article/2024/02/penn-medical-malpractice-verdict-upheld-hup,organic,3923,1802,2.177025527,23.34517203,8743,0,0
/article/2024/02/penn-philadelphia-larry-krasner-act-40-septa,referral,3921,3044,1.288107753,0.008212877792,10760,0,0
/article/2024/04/penn-fund-donations-lower-than-usual,referral,3900,1523,2.560735391,29.98686802,8936,0,0
/article/2024/04/penn-consulting-culture-student-dreams-potential,organic,3757,666,5.641141141,73.23423423,5841,0,0
/article/2024/03/penn-mshp-program-investigation-administration-comments,organic,3749,1044,3.590996169,67.40996169,7309,0,0
/article/2024/03/penn-philadelphia-sixers-arena-impact-study,referral,3747,1480,2.531756757,18.20608108,8789,0,0
/article/2020/06/ryan-glover-tameka-foster-penn-football-quarterback-mother-son-usher-ivy-league,organic,3728,2203,1.692237857,15.13617794,9544,0,0
/article/2024/02/penn-wharton-club-culture-competitive-stress-connections,organic,3695,2732,1.352489019,1.289897511,8875,0,0
/article/2024/03/penn-sharktank-investment-pitch-show,organic,3679,1372,2.68148688,23.90597668,7872,0,0
/article/2024/01/penn-medicine-hospital-safety-violations,organic,3678,2543,1.44632324,7.022807707,9179,0,0
/article/2024/04/penn-possible-college-curriculum-changes,referral,3539,1060,3.338679245,74.75660377,7595,0,0
/article/2022/11/elon-musk-penn-grad-wharton-twitter-auction,organic,3466,1548,2.239018088,38.54263566,8078,0,0
/article/2024/04/penn-alumni-letter-faculty-investigation,organic,3438,1039,3.308950914,52.05678537,7004,0,0
/article/2024/04/penn-2024-solar-eclipse-viewing-guide,organic,3389,1016,3.335629921,36.49507874,7294,0,0
/article/2024/03/penn-mackenzie-fierceton-depositions,organic,3387,923,3.669555796,132.4073673,6546,0,0
/article/2024/04/penn-consulting-culture-student-dreams-potential,referral,3157,855,3.692397661,53.62105263,6395,0,0
/article/2024/03/penn-mackenzie-fierceton-depositions,email,3097,1238,2.501615509,87.90549273,6903,0,0
/article/2024/04/penn-former-donors-political-support-president-2024-trump-biden,email,3060,1167,2.622107969,79.57754927,6769,0,0
/article/2024/03/penn-board-of-trustees-attendance,email,3034,1091,2.780934922,65.1035747,6774,0,0
/article/2024/02/penn-gene-therapy-program-jim-wilson-lawsuit-susan-faust,referral,2944,997,2.952858576,42.32898696,6620,0,0
/article/2024/02/penn-lawsuit-dental-school-wolff-singer-retaliation,organic,2934,1407,2.085287846,33.80099502,6103,0,0
/article/2024/03/penn-college-sophomore-nathaniel-gordon-dies,email,2929,1085,2.699539171,20.85437788,6080,0,0
/article/2024/02/penn-fradulent-email-university-board-trustees,email,2859,1089,2.625344353,24.20477502,6401,0,0
/article/2024/02/penn-athletics-nil-ivy-league-basketball-transfers-and-rumors,organic,2858,845,3.382248521,73.72899408,6098,0,0
/article/2024/04/penn-grocery-store-guide-university-city,email,2798,978,2.860940695,41.6400818,6160,0,0
/article/2024/03/penn-lawsuit-faculty-justice-palestine-israel-mccarthy,organic,2720,785,3.464968153,66.43821656,5147,0,0
/article/2024/02/penn-antisemitism-cartoons-jameson-statement,organic,2703,1929,1.401244168,1.122343183,5589,0,0
/article/2024/04/penn-fgli-dab-responds-to-passing-nathaniel-gordon,referral,2667,768,3.47265625,20.20442708,5671,0,0
/article/2023/04/penn-accepted-students-quaker-days-2023-class-of-2027,organic,2657,1068,2.487827715,14.97097378,6083,0,0
/article/2024/03/5-easy-classes-for-fall-2024-penn,organic,2643,668,3.956586826,22.55389222,4762,0,0
/article/2024/04/penn-possible-college-curriculum-changes,email,2642,1149,2.299390775,67.01392515,5999,0,0
/article/2024/02/penn-wharton-graduate-association-fight-night-funding-charity,referral,2580,887,2.908680947,101.0913191,5476,0,0
/article/2024/04/penn-alumni-letter-faculty-investigation,email,2558,909,2.814081408,55.02310231,5411,0,0
/article/2024/04/penn-philadelphia-election-primary-ballot-guide-2024,organic,2555,827,3.089480048,84.83796856,5998,0,0
/article/2024/04/amy-wax-penn-sanctions-interview,referral,2538,1060,2.394339623,17.73584906,5491,0,0
/article/2024/03/penn-double-count-courses-general-education-foundational-sectors-fall-2024,organic,2536,538,4.713754647,42.49442379,4945,0,0
/search,referral,2532,130,19.47692308,24.72307692,3650,0,0
/page/staff_directory,organic,2513,1016,2.473425197,8.145669291,4205,0,0
/article/2024/03/penn-lawsuit-faculty-justice-palestine-israel-mccarthy,email,2498,1003,2.490528415,58.03988036,5626,0,0
/article/2024/02/penn-gene-therapy-program-jim-wilson-lawsuit-susan-faust,organic,2491,786,3.169211196,63.47582697,5072,0,0
/article/2024/01/penn-marc-rowan-letter-faculty-perspective-academic-freedom,organic,2410,1595,1.510971787,7.621316614,4485,0,0
/article/2024/04/amy-wax-penn-sanctions-interview,email,2383,1060,2.248113208,34.81981132,5458,0,0
/article/2023/03/penn-legacy-admissions-policy-changes-university,organic,2361,1258,1.876788553,44.55325914,5676,0,0
/article/2023/10/penn-lauder-reexamining-support,organic,2356,1325,1.778113208,15.34339623,5862,0,0
/article/2024/03/penn-antisemitism-house-roundtable,organic,2347,644,3.644409938,81.95807453,4187,0,0
/article/2024/04/penn-possible-college-curriculum-changes,organic,2325,707,3.28854314,97.15134371,4463,0,0
/article/2024/04/antisemitism-penn-campus-inaction-unacceptable,organic,2314,628,3.684713376,77.58121019,4130,0,0
/article/2023/07/penn-baseball-rondesantis-ivyleague-ivyleaguebaseball,organic,2310,1638,1.41025641,5.133089133,6004,0,0
/article/2024/03/5-easy-classes-for-fall-2024-penn,email,2289,841,2.72175981,18.36979786,4960,0,0
/article/2020/03/halo-cars-lyft-penn-wharton,organic,2278,1494,1.52476573,4.235609103,5817,0,0
/article/2024/03/penn-trustees-meeting-jameson-interrupted,email,2277,554,4.110108303,70.50541516,4472,0,0
/multimedia/7bd5272b-38df-4903-b048-22e4594688d2,organic,2265,337,6.721068249,4.581602374,3405,0,0
/article/2024/04/penn-against-occupation-removal-registration-investigation,email,2262,516,4.38372093,151.3255814,4046,0,0
/article/2024/02/penn-carey-law-professor-amy-wax-appeals-hearing-board-sanctions-recommendation,organic,2243,1287,1.742812743,32.41491841,4919,0,0
/article/2024/03/penn-against-the-occupation-club-investigated,organic,2242,560,4.003571429,48.16785714,3955,0,0
/article/2024/03/penn-alum-stuart-weitzman-interview,email,2225,771,2.885862516,52.0311284,4782,0,0
/article/2024/03/penn-mackenzie-fierceton-depositions,referral,2224,642,3.464174455,91.894081,4614,0,0
/article/2023/06/penn-amy-gutmann-university-president-salary,organic,2218,1375,1.613090909,12.664,5565,0,0
/article/2024/04/penn-larry-jameson-statement-campus-unrest,organic,2191,525,4.173333333,48.5047619,3712,0,0
/article/2024/03/penn-mshp-program-investigation-administration-comments,referral,2186,735,2.97414966,38.54557823,4543,0,0
/article/2024/04/penn-presidential-search-committee,email,2175,868,2.505760369,49.79032258,4887,0,0
/article/2024/01/university-city-urban-outfitters-closes-penn,organic,2172,1481,1.466576637,3.931127616,5200,0,0
/article/2024/04/penn-wharton-ranking-business,organic,2170,636,3.411949686,15.23899371,4616,0,0
/section/news,referral,2167,322,6.729813665,18.6552795,3164,0,0
/article/2024/02/penn-fradulent-email-university-board-trustees,organic,2166,581,3.728055077,31.36660929,3969,0,0
